Restaurant Name,Location,Cuisine,Secondary Cuisine,Price Range,Dish,Price
Feast,Kolkata,Gujarati,Tandoori,₹200-₹500,Haleem,248
Flavors S,Hyderabad,Bengali,Coastal,₹200-₹500,Plain Dosa,1981
Spice C,Jaipur,Hyderabadi,Tandoori,₹100-₹300,Butter Chicken,1280
Zaiqa,Ahmedabad,West Indian,,₹700-₹1500,Biryani,1135
Taj L,Hyderabad,Rajasthani,Mughlai,₹1000-₹2000,Sambar Vada,1556
Dosa,Kolkata,South Indian,Mughlai,₹300-₹700,Laal Maas,940
Dosa,Ahmedabad,Bengali,Tandoori,₹700-₹1500,Haleem,281
Swad H,Jaipur,North Indian,Tandoori,₹1000-₹2000,Chicken Tikka,1649
Taj,Bengaluru,Street Food,Awadhi,₹700-₹1500,Pav Bhaji,1217
Swad,Chennai,Seafood,Coastal,₹300-₹700,Chicken Tikka,1454
Spice,Jaipur,Bengali,Mughlai,₹500-₹1000,Masala Dosa,1953
Zaiqa,Ahmedabad,Hyderabadi,,₹1000-₹2000,Chole Bhature,93
Spice,Lucknow,West Indian,Chaat,₹300-₹700,Chicken Tikka,739
Rasoi V,Bengaluru,Bengali,Mughlai,₹300-₹700,Filter Coffee,966
Feast,Mumbai,Hyderabadi,Coastal,₹1000-₹2000,Butter Chicken,1366
Rasoi H,Jaipur,West Indian,Chaat,₹500-₹1000,Dhokla,910
Zaiqa,Pune,North Indian,Coastal,₹500-₹1000,Solkadi,1771
Zaiqa,Delhi,West Indian,Mughlai,₹500-₹1000,Kosha Mangsho,496
Royal P,Jaipur,Rajasthani,Awadhi,₹300-₹700,Prawn Curry,1204
Flavors,Hyderabad,North Indian,Mughlai,₹1000-₹2000,Plain Dosa,340
Taj P,Hyderabad,West Indian,Tandoori,₹200-₹500,Masala Dosa,283
Feast,Hyderabad,North Indian,,₹100-₹300,Filter Coffee,330
Rasoi,Chennai,Gujarati,Chaat,₹300-₹700,Chicken Tikka,624
Rasoi,Mumbai,Bengali,Chaat,₹500-₹1000,Dahi Vada,894
Taj,Hyderabad,West Indian,,₹300-₹700,Prawn Curry,464
Zaiqa,Lucknow,Gujarati,Chaat,₹1000-₹2000,Filter Coffee,1452
Relish,Mumbai,South Indian,Tandoori,₹100-₹300,Chicken Tikka,1926
Feast,Hyderabad,Gujarati,Tandoori,₹500-₹1000,Chole Bhature,986
Spice,Lucknow,South Indian,,₹200-₹500,Gulab Jamun,62
Flavors,Hyderabad,North Indian,Awadhi,₹700-₹1500,Chicken Tikka,608
Royal,Mumbai,Gujarati,Awadhi,₹100-₹300,Plain Dosa,630
Dosa,Bengaluru,Hyderabadi,Tandoori,₹1000-₹2000,Kebabs,918
Taj,Jaipur,South Indian,Mughlai,₹100-₹300,Dhokla,1341
Swad C,Kolkata,West Indian,Coastal,₹500-₹1000,Chole Bhature,725
Zaiqa,Lucknow,South Indian,Chaat,₹700-₹1500,Kebabs,1832
Royal,Ahmedabad,West Indian,Coastal,₹300-₹700,Pav Bhaji,595
Royal V,Delhi,Rajasthani,Coastal,₹200-₹500,Chole Bhature,1639
Taj,Bengaluru,Bengali,,₹200-₹500,Solkadi,1029
Zaiqa,Hyderabad,South Indian,Chaat,₹300-₹700,Chole Bhature,704
Feast K,Lucknow,Gujarati,Chaat,₹500-₹1000,Kebabs,1428
Dosa,Pune,North Indian,,₹700-₹1500,Pav Bhaji,237
Zaiqa,Ahmedabad,West Indian,Chaat,₹100-₹300,Masala Dosa,1586
Taj,Ahmedabad,Rajasthani,Coastal,₹200-₹500,Dhokla,1177
Taj,Lucknow,South Indian,,₹700-₹1500,Biryani,1178
Flavors,Pune,Gujarati,Awadhi,₹700-₹1500,Pav Bhaji,861
Zaiqa,Kolkata,Street Food,Mughlai,₹700-₹1500,Kosha Mangsho,1862
Flavors,Jaipur,West Indian,Mughlai,₹300-₹700,Dahi Vada,738
Royal,Kolkata,Hyderabadi,Tandoori,₹300-₹700,Laal Maas,1412
Spice,Delhi,Bengali,Tandoori,₹1000-₹2000,Laal Maas,1118
Royal,Pune,South Indian,Tandoori,₹700-₹1500,Sambar Vada,630
Taj E,Hyderabad,Hyderabadi,Awadhi,₹500-₹1000,Gulab Jamun,1411
Swad,Jaipur,Gujarati,Tandoori,₹500-₹1000,Laal Maas,1780
Dosa I,Bengaluru,Street Food,Awadhi,₹500-₹1000,Dahi Vada,1673
Zaiqa,Hyderabad,Mughlai,Tandoori,₹100-₹300,Butter Chicken,1875
Feast P,Hyderabad,Mughlai,Awadhi,₹1000-₹2000,Masala Dosa,1425
Dosa H,Delhi,Mughlai,,₹100-₹300,Filter Coffee,1193
Spice,Hyderabad,South Indian,,₹100-₹300,Haleem,1558
Dosa,Jaipur,Mughlai,Coastal,₹500-₹1000,Dahi Vada,613
Relish M,Bengaluru,Hyderabadi,Awadhi,₹200-₹500,Chicken Tikka,552
Feast L,Lucknow,Street Food,Chaat,₹100-₹300,Chicken Tikka,1115
Taj,Mumbai,South Indian,Coastal,₹1000-₹2000,Prawn Curry,1058
Royal,Jaipur,Hyderabadi,Coastal,₹1000-₹2000,Laal Maas,512
Feast H,Delhi,Gujarati,Awadhi,₹300-₹700,Pav Bhaji,1969
Feast,Pune,Seafood,Tandoori,₹200-₹500,Filter Coffee,609
Swad,Bengaluru,Seafood,Awadhi,₹300-₹700,Kebabs,1577
Taj,Chennai,Hyderabadi,Awadhi,₹300-₹700,Masala Dosa,837
Zaiqa,Chennai,Street Food,Chaat,₹200-₹500,Haleem,292
Zaiqa,Pune,Bengali,Chaat,₹100-₹300,Gulab Jamun,958
Rasoi,Kolkata,Bengali,Awadhi,₹500-₹1000,Kebabs,950
Relish,Delhi,South Indian,Mughlai,₹100-₹300,Pav Bhaji,279
Relish,Lucknow,Seafood,Coastal,₹200-₹500,Haleem,813
Feast Y,Chennai,North Indian,Coastal,₹100-₹300,Sambar Vada,846
Taj,Hyderabad,Rajasthani,Tandoori,₹1000-₹2000,Butter Chicken,707
Royal,Bengaluru,Seafood,Chaat,₹100-₹300,Kebabs,1489
Rasoi,Bengaluru,Rajasthani,Chaat,₹100-₹300,Biryani,946
Feast U,Chennai,Seafood,,₹300-₹700,Chole Bhature,801
Feast,Jaipur,West Indian,,₹700-₹1500,Chole Bhature,725
Feast,Delhi,West Indian,Awadhi,₹100-₹300,Biryani,1648
Zaiqa X,Ahmedabad,South Indian,Tandoori,₹700-₹1500,Butter Chicken,238
Dosa,Lucknow,South Indian,Chaat,₹700-₹1500,Solkadi,1721
Relish,Hyderabad,South Indian,Tandoori,₹100-₹300,Sambar Vada,406
Swad,Jaipur,Seafood,Tandoori,₹300-₹700,Sambar Vada,649
Rasoi O,Delhi,Rajasthani,Mughlai,₹700-₹1500,Solkadi,730
Dosa R,Kolkata,West Indian,Coastal,₹700-₹1500,Pav Bhaji,1683
Zaiqa,Pune,Rajasthani,Chaat,₹200-₹500,Kosha Mangsho,1206
Feast,Chennai,Hyderabadi,Awadhi,₹700-₹1500,Kebabs,1736
Spice,Pune,Hyderabadi,Coastal,₹300-₹700,Pav Bhaji,1215
Swad,Kolkata,South Indian,Awadhi,₹500-₹1000,Gulab Jamun,590
Taj,Bengaluru,Seafood,,₹500-₹1000,Prawn Curry,390
Royal,Chennai,Hyderabadi,Mughlai,₹200-₹500,Kosha Mangsho,1080
Royal,Mumbai,Gujarati,Mughlai,₹1000-₹2000,Kebabs,1963
Taj,Lucknow,Gujarati,Mughlai,₹300-₹700,Dahi Vada,1846
Feast S,Hyderabad,Mughlai,Awadhi,₹700-₹1500,Sambar Vada,1213
Dosa,Kolkata,North Indian,Chaat,₹300-₹700,Dahi Vada,838
Spice,Lucknow,North Indian,,₹200-₹500,Solkadi,574
Rasoi,Bengaluru,Street Food,Tandoori,₹100-₹300,Chicken Tikka,388
Flavors H,Hyderabad,West Indian,Mughlai,₹300-₹700,Filter Coffee,415
Dosa,Pune,Hyderabadi,Chaat,₹1000-₹2000,Kebabs,126
Zaiqa,Hyderabad,Seafood,Awadhi,₹1000-₹2000,Laal Maas,1325
Zaiqa,Lucknow,Bengali,Chaat,₹100-₹300,Plain Dosa,1110
Royal,Bengaluru,North Indian,Chaat,₹1000-₹2000,Gulab Jamun,1374
Taj,Pune,Seafood,,₹100-₹300,Biryani,971
Rasoi,Bengaluru,Street Food,,₹300-₹700,Sambar Vada,1188
Zaiqa,Pune,South Indian,Coastal,₹1000-₹2000,Dahi Vada,1553
Swad,Pune,Seafood,Awadhi,₹1000-₹2000,Kebabs,158
Rasoi,Bengaluru,Mughlai,Awadhi,₹100-₹300,Pav Bhaji,388
Dosa L,Pune,South Indian,Chaat,₹300-₹700,Chole Bhature,972
Relish,Delhi,Mughlai,Awadhi,₹300-₹700,Pav Bhaji,1804
Flavors,Lucknow,Seafood,Tandoori,₹500-₹1000,Dahi Vada,1766
Dosa W,Hyderabad,Bengali,Chaat,₹300-₹700,Pav Bhaji,1597
Swad T,Ahmedabad,Mughlai,Awadhi,₹1000-₹2000,Prawn Curry,697
Swad,Mumbai,Hyderabadi,Coastal,₹500-₹1000,Butter Chicken,595
Flavors,Mumbai,Bengali,Mughlai,₹300-₹700,Masala Dosa,1284
Taj,Jaipur,South Indian,,₹700-₹1500,Dahi Vada,1531
Rasoi,Delhi,South Indian,Chaat,₹700-₹1500,Biryani,789
Zaiqa,Lucknow,Street Food,Mughlai,₹500-₹1000,Pav Bhaji,1011
Dosa,Mumbai,Bengali,Coastal,₹700-₹1500,Prawn Curry,187
Feast,Pune,Seafood,Tandoori,₹100-₹300,Sambar Vada,258
Dosa,Ahmedabad,Street Food,Mughlai,₹300-₹700,Filter Coffee,1177
Zaiqa,Ahmedabad,Seafood,Awadhi,₹200-₹500,Dhokla,1043
Relish,Mumbai,West Indian,Awadhi,₹300-₹700,Laal Maas,963
Dosa S,Jaipur,Mughlai,Mughlai,₹200-₹500,Masala Dosa,459
Spice,Chennai,North Indian,Tandoori,₹200-₹500,Haleem,444
Swad,Kolkata,Bengali,Coastal,₹500-₹1000,Dhokla,161
Dosa O,Pune,West Indian,Mughlai,₹100-₹300,Masala Dosa,1645
Taj,Chennai,North Indian,,₹700-₹1500,Dahi Vada,1914
Relish,Mumbai,Rajasthani,Chaat,₹1000-₹2000,Gulab Jamun,86
Rasoi,Mumbai,Mughlai,,₹300-₹700,Pav Bhaji,266
Taj,Kolkata,Gujarati,Chaat,₹1000-₹2000,Biryani,1506
Royal J,Kolkata,Gujarati,Tandoori,₹300-₹700,Plain Dosa,167
Spice,Jaipur,Street Food,Coastal,₹700-₹1500,Kosha Mangsho,1216
Royal,Hyderabad,North Indian,Awadhi,₹500-₹1000,Filter Coffee,1029
Swad,Lucknow,South Indian,Tandoori,₹700-₹1500,Butter Chicken,509
Rasoi,Hyderabad,Street Food,Coastal,₹500-₹1000,Biryani,1397
Royal,Lucknow,North Indian,Awadhi,₹100-₹300,Chole Bhature,169
Zaiqa,Pune,Hyderabadi,,₹1000-₹2000,Chole Bhature,76
Dosa,Hyderabad,Mughlai,Coastal,₹200-₹500,Kebabs,929
Royal L,Delhi,South Indian,Chaat,₹300-₹700,Masala Dosa,668
Dosa,Hyderabad,Gujarati,Mughlai,₹500-₹1000,Solkadi,1106
Zaiqa,Lucknow,Seafood,Chaat,₹100-₹300,Masala Dosa,1002
Feast,Chennai,West Indian,Mughlai,₹700-₹1500,Biryani,812
Royal,Lucknow,Street Food,Tandoori,₹300-₹700,Biryani,1221
Swad,Kolkata,South Indian,Awadhi,₹700-₹1500,Plain Dosa,568
Royal,Bengaluru,Rajasthani,Tandoori,₹1000-₹2000,Pav Bhaji,562
Relish W,Jaipur,Seafood,Awadhi,₹500-₹1000,Laal Maas,592
Flavors,Ahmedabad,South Indian,Tandoori,₹500-₹1000,Pav Bhaji,1021
Relish,Bengaluru,Street Food,Chaat,₹1000-₹2000,Gulab Jamun,565
Flavors,Bengaluru,South Indian,Coastal,₹1000-₹2000,Gulab Jamun,1065
Spice,Mumbai,West Indian,Coastal,₹100-₹300,Masala Dosa,816
Swad,Bengaluru,Bengali,Mughlai,₹300-₹700,Dahi Vada,1180
Relish,Bengaluru,Gujarati,Coastal,₹100-₹300,Sambar Vada,135
Zaiqa,Pune,Seafood,Awadhi,₹100-₹300,Solkadi,763
Feast,Delhi,Hyderabadi,Coastal,₹500-₹1000,Solkadi,1206
Zaiqa,Kolkata,West Indian,Coastal,₹200-₹500,Butter Chicken,1668
Rasoi,Mumbai,South Indian,Mughlai,₹500-₹1000,Kosha Mangsho,1715
Spice,Jaipur,Gujarati,Mughlai,₹200-₹500,Kebabs,239
Zaiqa,Jaipur,Hyderabadi,Mughlai,₹100-₹300,Gulab Jamun,1911
Spice,Delhi,Mughlai,Chaat,₹700-₹1500,Prawn Curry,1774
Relish,Bengaluru,Bengali,Chaat,₹100-₹300,Dhokla,1386
Swad,Bengaluru,Rajasthani,,₹700-₹1500,Filter Coffee,1111
Rasoi G,Jaipur,Bengali,,₹700-₹1500,Filter Coffee,1019
Dosa,Chennai,West Indian,Mughlai,₹200-₹500,Dhokla,1877
Swad,Kolkata,Hyderabadi,Awadhi,₹100-₹300,Sambar Vada,1574
Relish,Lucknow,South Indian,Chaat,₹500-₹1000,Prawn Curry,161
Spice,Ahmedabad,West Indian,Coastal,₹700-₹1500,Haleem,1653
Flavors,Jaipur,Hyderabadi,Awadhi,₹200-₹500,Chole Bhature,82
Flavors J,Lucknow,Gujarati,Tandoori,₹700-₹1500,Biryani,662
Relish U,Chennai,West Indian,Tandoori,₹1000-₹2000,Chole Bhature,1292
Rasoi,Kolkata,Mughlai,Coastal,₹700-₹1500,Chole Bhature,1416
Royal V,Mumbai,Hyderabadi,Chaat,₹200-₹500,Chicken Tikka,389
Flavors,Jaipur,Gujarati,Coastal,₹200-₹500,Plain Dosa,1283
Rasoi E,Chennai,Hyderabadi,,₹200-₹500,Filter Coffee,1467
Royal,Lucknow,South Indian,Chaat,₹100-₹300,Laal Maas,1287
Feast Y,Lucknow,West Indian,Coastal,₹300-₹700,Plain Dosa,1906
Relish E,Delhi,Mughlai,Mughlai,₹100-₹300,Biryani,965
Dosa,Pune,Seafood,Coastal,₹1000-₹2000,Butter Chicken,934
Spice,Pune,Bengali,Chaat,₹100-₹300,Gulab Jamun,1481
Swad H,Mumbai,Mughlai,Mughlai,₹300-₹700,Dahi Vada,1448
Zaiqa,Jaipur,West Indian,Chaat,₹300-₹700,Butter Chicken,1741
Dosa,Bengaluru,West Indian,Mughlai,₹100-₹300,Laal Maas,497
Royal,Pune,Rajasthani,Mughlai,₹500-₹1000,Chole Bhature,775
Taj,Jaipur,Rajasthani,Mughlai,₹500-₹1000,Dahi Vada,1798
Zaiqa,Mumbai,North Indian,Awadhi,₹500-₹1000,Dhokla,1582
Royal,Ahmedabad,Hyderabadi,Coastal,₹100-₹300,Biryani,1923
Royal,Delhi,Street Food,Coastal,₹200-₹500,Biryani,1859
Relish,Hyderabad,Bengali,Coastal,₹300-₹700,Prawn Curry,1181
Swad,Mumbai,South Indian,Chaat,₹500-₹1000,Chole Bhature,818
Feast,Pune,Mughlai,Awadhi,₹500-₹1000,Plain Dosa,1667
Swad,Chennai,Gujarati,Chaat,₹700-₹1500,Masala Dosa,1789
Spice,Delhi,North Indian,Mughlai,₹500-₹1000,Prawn Curry,662
Feast,Mumbai,North Indian,Awadhi,₹200-₹500,Solkadi,301
Royal,Lucknow,Street Food,Awadhi,₹700-₹1500,Haleem,1503
Rasoi K,Kolkata,Bengali,Tandoori,₹1000-₹2000,Kebabs,1239
Flavors,Jaipur,North Indian,Chaat,₹500-₹1000,Biryani,1331
Flavors,Mumbai,South Indian,Awadhi,₹300-₹700,Haleem,894
Rasoi C,Kolkata,Gujarati,Awadhi,₹1000-₹2000,Masala Dosa,1600
Feast,Delhi,Mughlai,Awadhi,₹500-₹1000,Sambar Vada,311
Swad,Chennai,Hyderabadi,Chaat,₹1000-₹2000,Filter Coffee,1946
Taj,Mumbai,West Indian,Tandoori,₹500-₹1000,Pav Bhaji,1543
Feast,Ahmedabad,Bengali,Mughlai,₹500-₹1000,Dhokla,1563
Feast,Delhi,Street Food,Tandoori,₹500-₹1000,Chole Bhature,1940
Zaiqa O,Hyderabad,Bengali,Mughlai,₹200-₹500,Gulab Jamun,565
Swad,Bengaluru,South Indian,Chaat,₹500-₹1000,Biryani,1973
Flavors V,Ahmedabad,South Indian,Mughlai,₹1000-₹2000,Kosha Mangsho,127
Rasoi R,Jaipur,Street Food,,₹500-₹1000,Butter Chicken,1900
Relish,Pune,North Indian,,₹1000-₹2000,Biryani,554
Relish,Ahmedabad,North Indian,Coastal,₹200-₹500,Gulab Jamun,1661
Flavors Y,Ahmedabad,Bengali,Coastal,₹300-₹700,Masala Dosa,1942
Taj,Lucknow,Bengali,,₹100-₹300,Laal Maas,1105
Feast,Bengaluru,Gujarati,Tandoori,₹1000-₹2000,Chicken Tikka,1908
Swad,Hyderabad,West Indian,Awadhi,₹500-₹1000,Kebabs,1537
Flavors,Lucknow,West Indian,Awadhi,₹300-₹700,Chole Bhature,352
Relish U,Delhi,Rajasthani,Awadhi,₹100-₹300,Gulab Jamun,1002
Swad L,Bengaluru,North Indian,Tandoori,₹1000-₹2000,Butter Chicken,1334
Relish,Pune,Mughlai,Chaat,₹700-₹1500,Haleem,1194
Swad,Delhi,Gujarati,Awadhi,₹500-₹1000,Kosha Mangsho,611
Zaiqa U,Jaipur,Gujarati,Tandoori,₹100-₹300,Dahi Vada,1072
Rasoi,Kolkata,South Indian,,₹200-₹500,Sambar Vada,512
Taj,Mumbai,Street Food,Tandoori,₹1000-₹2000,Sambar Vada,712
Flavors I,Ahmedabad,Bengali,Awadhi,₹100-₹300,Chicken Tikka,1350
Rasoi,Kolkata,Street Food,Tandoori,₹300-₹700,Dhokla,209
Swad,Pune,South Indian,Coastal,₹700-₹1500,Pav Bhaji,1957
Taj,Ahmedabad,Mughlai,,₹300-₹700,Solkadi,1696
Spice G,Lucknow,Street Food,,₹200-₹500,Gulab Jamun,1788
Dosa,Chennai,Hyderabadi,,₹100-₹300,Butter Chicken,1066
Rasoi G,Chennai,Street Food,Tandoori,₹100-₹300,Butter Chicken,731
Relish,Chennai,Street Food,,₹1000-₹2000,Gulab Jamun,1048
Flavors,Kolkata,South Indian,Coastal,₹100-₹300,Sambar Vada,1414
Dosa F,Chennai,Seafood,Chaat,₹500-₹1000,Prawn Curry,1400
Swad,Ahmedabad,Street Food,Chaat,₹100-₹300,Biryani,1409
Taj B,Bengaluru,West Indian,Tandoori,₹1000-₹2000,Gulab Jamun,1154
Flavors,Jaipur,Mughlai,,₹300-₹700,Sambar Vada,1701
Rasoi,Pune,West Indian,Tandoori,₹500-₹1000,Chicken Tikka,1136
Rasoi,Kolkata,Bengali,Mughlai,₹200-₹500,Kebabs,742
Dosa P,Kolkata,Gujarati,Chaat,₹100-₹300,Kosha Mangsho,533
Flavors,Mumbai,Street Food,Mughlai,₹500-₹1000,Laal Maas,1891
Royal G,Ahmedabad,Seafood,Coastal,₹300-₹700,Haleem,120
Spice,Chennai,North Indian,Chaat,₹500-₹1000,Pav Bhaji,1563
Dosa T,Chennai,Bengali,Tandoori,₹100-₹300,Biryani,1975
Rasoi,Lucknow,Gujarati,Tandoori,₹1000-₹2000,Laal Maas,1196
Flavors,Kolkata,Rajasthani,Tandoori,₹500-₹1000,Chicken Tikka,659
Taj,Ahmedabad,South Indian,,₹500-₹1000,Kebabs,200
Zaiqa V,Chennai,Gujarati,,₹1000-₹2000,Solkadi,1156
Rasoi,Hyderabad,Bengali,Awadhi,₹1000-₹2000,Butter Chicken,911
Dosa,Delhi,Hyderabadi,Chaat,₹500-₹1000,Prawn Curry,1797
Zaiqa L,Mumbai,Rajasthani,Awadhi,₹700-₹1500,Filter Coffee,266
Relish H,Chennai,Bengali,Coastal,₹300-₹700,Biryani,1580
Dosa,Ahmedabad,Rajasthani,Tandoori,₹700-₹1500,Prawn Curry,693
Royal,Lucknow,Hyderabadi,Coastal,₹200-₹500,Dahi Vada,1610
Taj,Ahmedabad,Mughlai,Mughlai,₹100-₹300,Chicken Tikka,1864
Dosa,Ahmedabad,Street Food,Awadhi,₹100-₹300,Kosha Mangsho,1386
Flavors,Hyderabad,Gujarati,Mughlai,₹100-₹300,Haleem,1468
Feast,Hyderabad,Rajasthani,Tandoori,₹500-₹1000,Chicken Tikka,400
Rasoi,Chennai,Street Food,Tandoori,₹100-₹300,Sambar Vada,1570
Relish,Delhi,Mughlai,Awadhi,₹700-₹1500,Prawn Curry,1609
Feast I,Chennai,Hyderabadi,Mughlai,₹1000-₹2000,Filter Coffee,926
Spice,Jaipur,Bengali,Awadhi,₹200-₹500,Kosha Mangsho,1182
Relish,Hyderabad,North Indian,Chaat,₹500-₹1000,Dhokla,1385
Feast U,Pune,North Indian,,₹100-₹300,Dahi Vada,356
Rasoi B,Chennai,Mughlai,Mughlai,₹500-₹1000,Pav Bhaji,1035
Taj Z,Mumbai,Mughlai,Chaat,₹100-₹300,Gulab Jamun,512
Royal,Jaipur,Gujarati,Tandoori,₹500-₹1000,Chicken Tikka,470
Feast,Kolkata,Hyderabadi,,₹200-₹500,Solkadi,1402
Feast,Chennai,Hyderabadi,,₹200-₹500,Chole Bhature,541
Spice,Hyderabad,Bengali,Mughlai,₹300-₹700,Dhokla,1760
Zaiqa H,Hyderabad,North Indian,Tandoori,₹100-₹300,Kosha Mangsho,916
Dosa,Bengaluru,West Indian,Chaat,₹100-₹300,Dhokla,885
Spice,Jaipur,South Indian,Awadhi,₹500-₹1000,Chicken Tikka,289
Feast,Jaipur,Hyderabadi,Chaat,₹500-₹1000,Masala Dosa,130
Flavors,Lucknow,North Indian,Coastal,₹700-₹1500,Masala Dosa,722
Flavors,Chennai,West Indian,,₹500-₹1000,Chole Bhature,157
Flavors,Mumbai,North Indian,Awadhi,₹1000-₹2000,Gulab Jamun,713
Taj,Jaipur,Gujarati,Awadhi,₹300-₹700,Dhokla,322
Taj,Kolkata,Street Food,Chaat,₹100-₹300,Solkadi,1947
Zaiqa,Ahmedabad,Rajasthani,Mughlai,₹200-₹500,Pav Bhaji,1207
Royal Y,Chennai,Rajasthani,Awadhi,₹300-₹700,Biryani,1823
Swad J,Hyderabad,Bengali,Chaat,₹700-₹1500,Butter Chicken,280
Swad,Kolkata,Gujarati,Tandoori,₹200-₹500,Sambar Vada,453
Spice,Bengaluru,Rajasthani,,₹1000-₹2000,Dahi Vada,1203
Spice,Mumbai,North Indian,Chaat,₹700-₹1500,Masala Dosa,93
Feast,Jaipur,Street Food,Coastal,₹1000-₹2000,Haleem,294
Zaiqa,Jaipur,Gujarati,Tandoori,₹100-₹300,Haleem,1667
Relish,Jaipur,Rajasthani,Chaat,₹100-₹300,Laal Maas,1266
Relish,Pune,Mughlai,Coastal,₹100-₹300,Laal Maas,1939
Spice C,Hyderabad,West Indian,Awadhi,₹1000-₹2000,Prawn Curry,916
Taj Z,Pune,Mughlai,Awadhi,₹200-₹500,Haleem,254
Spice,Jaipur,Rajasthani,Mughlai,₹300-₹700,Chole Bhature,1551
Swad,Lucknow,Rajasthani,Tandoori,₹100-₹300,Sambar Vada,331
Relish,Pune,West Indian,Coastal,₹200-₹500,Gulab Jamun,1321
Rasoi,Jaipur,Seafood,,₹700-₹1500,Plain Dosa,762
Flavors,Hyderabad,Rajasthani,Mughlai,₹200-₹500,Pav Bhaji,827
Rasoi D,Bengaluru,Rajasthani,Coastal,₹100-₹300,Dahi Vada,1956
Relish,Chennai,Mughlai,Tandoori,₹100-₹300,Prawn Curry,1770
Taj,Hyderabad,Bengali,Coastal,₹300-₹700,Chole Bhature,505
Zaiqa,Jaipur,Mughlai,Awadhi,₹1000-₹2000,Dahi Vada,887
Royal,Bengaluru,Street Food,Mughlai,₹1000-₹2000,Pav Bhaji,1987
Flavors,Delhi,Hyderabadi,Coastal,₹1000-₹2000,Sambar Vada,903
Feast W,Jaipur,West Indian,,₹1000-₹2000,Dahi Vada,1817
Zaiqa,Pune,West Indian,Tandoori,₹1000-₹2000,Plain Dosa,534
Relish,Pune,Seafood,Chaat,₹100-₹300,Solkadi,1669
Royal S,Bengaluru,West Indian,Mughlai,₹1000-₹2000,Butter Chicken,1042
Swad,Ahmedabad,Seafood,Tandoori,₹300-₹700,Gulab Jamun,1269
Spice B,Ahmedabad,North Indian,Coastal,₹100-₹300,Chole Bhature,907
Dosa,Hyderabad,Seafood,Mughlai,₹700-₹1500,Dhokla,1679
Relish H,Chennai,South Indian,Tandoori,₹300-₹700,Prawn Curry,1403
Dosa,Delhi,Hyderabadi,Chaat,₹1000-₹2000,Kosha Mangsho,1255
Feast,Jaipur,Rajasthani,Mughlai,₹100-₹300,Solkadi,1477
Flavors,Kolkata,Gujarati,Coastal,₹1000-₹2000,Solkadi,880
Royal,Jaipur,Mughlai,,₹200-₹500,Chole Bhature,720
Rasoi R,Bengaluru,Mughlai,Tandoori,₹700-₹1500,Laal Maas,764
Dosa,Jaipur,Street Food,Mughlai,₹500-₹1000,Butter Chicken,64
Taj,Mumbai,North Indian,Awadhi,₹1000-₹2000,Pav Bhaji,181
Rasoi,Lucknow,South Indian,Awadhi,₹300-₹700,Laal Maas,1077
Royal Q,Delhi,West Indian,,₹100-₹300,Dhokla,209
Zaiqa,Chennai,South Indian,Awadhi,₹1000-₹2000,Solkadi,1322
Taj,Pune,West Indian,Mughlai,₹500-₹1000,Biryani,1247
Rasoi T,Hyderabad,Hyderabadi,Mughlai,₹500-₹1000,Gulab Jamun,1376
Zaiqa J,Lucknow,Seafood,Chaat,₹700-₹1500,Filter Coffee,1324
Taj,Chennai,West Indian,,₹300-₹700,Laal Maas,1507
Rasoi,Bengaluru,Rajasthani,,₹500-₹1000,Masala Dosa,807
Swad X,Mumbai,Mughlai,Coastal,₹1000-₹2000,Prawn Curry,985
Rasoi,Lucknow,Seafood,Chaat,₹300-₹700,Plain Dosa,1954
Dosa T,Jaipur,Street Food,Mughlai,₹1000-₹2000,Plain Dosa,1761
Relish,Ahmedabad,South Indian,,₹1000-₹2000,Chicken Tikka,159
Flavors,Kolkata,Rajasthani,Tandoori,₹700-₹1500,Laal Maas,82
Swad,Lucknow,West Indian,Mughlai,₹700-₹1500,Plain Dosa,1768
Royal,Hyderabad,West Indian,Mughlai,₹200-₹500,Haleem,1964
Rasoi,Mumbai,South Indian,Chaat,₹500-₹1000,Butter Chicken,619
Rasoi,Delhi,South Indian,Coastal,₹1000-₹2000,Haleem,194
Spice,Ahmedabad,Bengali,Chaat,₹200-₹500,Butter Chicken,410
Rasoi T,Lucknow,Seafood,Coastal,₹1000-₹2000,Solkadi,1335
Swad,Mumbai,North Indian,Coastal,₹100-₹300,Masala Dosa,212
Feast,Jaipur,North Indian,Mughlai,₹500-₹1000,Chicken Tikka,654
Flavors,Mumbai,Rajasthani,Tandoori,₹100-₹300,Chicken Tikka,652
Feast,Ahmedabad,West Indian,,₹500-₹1000,Butter Chicken,1370
Taj,Jaipur,West Indian,,₹300-₹700,Gulab Jamun,1081
Rasoi,Ahmedabad,Bengali,Mughlai,₹300-₹700,Chicken Tikka,171
Flavors,Chennai,Seafood,Chaat,₹1000-₹2000,Chicken Tikka,1764
Swad C,Chennai,Mughlai,Coastal,₹700-₹1500,Pav Bhaji,705
Feast,Delhi,Street Food,Awadhi,₹700-₹1500,Sambar Vada,284
Spice,Hyderabad,Hyderabadi,Coastal,₹100-₹300,Prawn Curry,664
Dosa,Lucknow,Rajasthani,Awadhi,₹100-₹300,Chole Bhature,716
Swad Q,Hyderabad,Bengali,Awadhi,₹1000-₹2000,Pav Bhaji,691
Taj Z,Kolkata,North Indian,,₹100-₹300,Gulab Jamun,1031
